Year,Simpanan Konvensional,opr_rate,usd_full_range,klci_full_range,snp_full_range,Investment,gdp
1952,2.5,,,,,,
1953,2.5,,,,,,
1954,2.5,,,,,,
1955,2.5,,,,,,
1956,2.5,,,,,,
1957,2.5,,,,,,
1958,2.5,,,,,,
1959,2.5,,,,,,
1960,4.0,,,,,,
1961,4.0,,,,,,
1962,4.0,,,,,,
1963,5.0,,,,,,
1964,5.25,,,,,,
1965,5.5,,,,,,
1966,5.5,,,,,,
1967,5.5,,,,,,
1968,5.75,,,,,,
1969,5.75,,,,,,
1970,5.75,,,,,,73709.682
1971,5.8,,,,,,81106.199
1972,5.85,,,,,,88720.81
1973,5.85,,,,,,99102.104
1974,6.6,,,,,,107346.073
1975,6.6,,,,,,108205.988
1976,7.0,,,,,,120718.377
1977,7.0,,,,,,130077.743
1978,7.0,,,,,,138732.976
1979,7.25,,,,,,151703.26
1980,8.0,,,,,,162992.754
1981,8.0,,,,,,174307.881
1982,8.0,,,,,,184667.264
1983,8.5,,,,,,196213.087
1984,8.5,,,,,,211442.735
1985,8.5,,,,,25.0,209274.918
1986,8.5,,,,,28.0,211871.172
1987,8.5,,,,,31.0,222871.38
1988,8.0,,,,,36.0,245019.713
1989,8.0,,,,,41.0,267217.521
1990,8.0,,,,,47.0,291289.883
1991,8.0,,,,,53.0,319094.864
1992,8.0,,,,,63.0,347446.82
1993,8.0,,,,,73.0,381826.485
1994,8.0,,,,,86.0,417000.501
1995,7.5,,,,,99.0,457987.835
1996,7.7,,,,,115.5,503798.988
1997,6.7,,,,,132.0,540690.887
1998,6.7,,,,,148.0,500899.2
1999,6.84,,,,,164.0,531642.449
2000,6.0,,,,,175.5,578739.953
2001,5.0,,,,,187.0,581735.947
2002,4.25,,,,,204.5,613097.264
2003,4.5,,,31.2099609375,,222.0,648586.394
2004,4.75,2.7,0.0,138.91998291015625,150.320068359375,243.5,692582.849
2005,5.0,2.7,0.053999999999999826,91.86004638671875,135.239990234375,265.0,729512.33
2006,5.15,3.5,0.2482000000000002,215.219970703125,203.4000244140625,286.0,772180.479
2007,5.8,3.5,0.2134999999999998,340.97998046875,191.030029296875,317.0,822219.26
2008,4.5,3.5,0.5085000000000002,686.8099975585938,694.7200317382812,350.0,861746.893
2009,5.65,2.0,0.37799999999999967,441.5599365234375,451.25,376.0,847648.672
2010,5.8,2.75,0.3582000000000001,294.1500244140625,237.20001220703125,441.0,908628.92
2011,6.0,3.0,0.27300000000000013,262.93994140625,264.3800048828125,469.0,956730.943
2012,6.15,3.0,0.20029999999999992,184.72998046875,188.7099609375,527.0,1009097.173
2013,6.35,3.0,0.37049999999999983,259.1900634765625,391.2099609375,590.0,1056461.394
2014,6.75,3.25,0.35599999999999987,218.7100830078125,348.6800537109375,637.0,1119920.092
2015,6.4,3.25,0.9625000000000004,330.6600341796875,263.2100830078125,685.0,1176941.0
2016,5.7,3.0,0.6209999999999996,127.0699462890625,442.6400146484375,731.0,1229312.0
2017,6.9,3.0,0.44700000000000006,161.280029296875,432.329833984375,791.0,1300769.0
2018,6.15,3.25,0.34149999999999947,259.8699951171873,579.64990234375,834.0,1363766.0
2019,5.45,3.0,0.16449999999999942,179.4500732421875,792.130126953125,925.0,1423952.0
2020,5.2,1.75,0.4320000000000004,464.8599853515625,1518.670166015625,1000.0,1346249.0
2021,6.1,1.75,0.24599999999999955,158.909912109375,1092.41015625,1010.0,1390882.0
2022,5.35,1.75,0.5754999999999999,245.1800537109375,1219.530029296875,1003.0,1514139.0
2023,5.5,3.0,0.5579999999999998,125.68994140625,975.25,1136.0,1567974.0
2024,6.3,3.0,0.6859999999999999,225.7000732421875,1401.58984375,1250.0,1648163.0
2025,,,0.1955,,1161.3798828125,,
